k,n,true_jaccard,fast_avg_error,kmins_avg_error,fast_avg_time,kmins_avg_time,speedup_ratio
16,100,0.333333,0.081194,0.099646,0.000083,0.000932,0.09
16,1250,0.333333,0.091274,0.101250,0.000920,0.011452,0.08
16,2500,0.333333,0.093894,0.091286,0.001656,0.021480,0.08
16,5000,0.333333,0.086271,0.094991,0.003295,0.043821,0.08
16,10000,0.333333,0.095009,0.083765,0.006636,0.085855,0.08
16,20000,0.333333,0.098755,0.096252,0.013086,0.172603,0.08
32,100,0.333333,0.063965,0.082444,0.000145,0.001724,0.08
32,1250,0.333333,0.061887,0.083137,0.000878,0.021195,0.04
32,2500,0.333333,0.071947,0.078125,0.001683,0.043031,0.04
32,5000,0.333333,0.052503,0.066244,0.003368,0.086545,0.04
32,10000,0.333333,0.074997,0.068753,0.006840,0.174527,0.04
32,20000,0.333333,0.066882,0.070626,0.013153,0.345764,0.04
64,100,0.4925373134328358,0.04284048507462686,0.05154850746268656,0.0002660280000418425,0.0037496759998612104,0.07094692982852097
64,1250,0.4997000599880024,0.04691099280143971,0.04566099280143972,0.0008584219892509282,0.04405519400606863,0.019485148314922412
64,2500,0.4997000599880024,0.0425,0.05378599280143972,0.001701903996290639,0.08720406800159253,0.019516337199539345
64,5000,0.4999250037498125,0.04654150104994752,0.04000299985000749,0.003262432012706995,0.17558720599277877,0.018580123729750368
64,10000,0.4999250037498125,0.04623500074996252,0.057184500149992504,0.006433348009595647,0.3480341219995171,0.01848481974306121
64,20000,0.49998125023437207,0.046877999962500486,0.0459412499531256,0.013053684001788498,0.7103398520033807,0.018376674158113223
128,100,0.4925373134328358,0.023736007462686563,0.03424673507462686,0.0005057380022481084,0.006956115999491886,0.07270407829384248
128,1250,0.4997000599880024,0.03424274520095981,0.03360574760047991,0.0008508220023941248,0.08659318199614063,0.009825507999371649
128,2500,0.4997000599880024,0.03636997600479905,0.03502399520095981,0.0017734559962991625,0.17902253200067209,0.009906328418438996
128,5000,0.4999250037498125,0.031866000449977505,0.0362529998500075,0.004011907996609807,0.3594056140037719,0.011162619169793222
128,10000,0.4999250037498125,0.03829624925003748,0.039693499700015004,0.0064301580027677115,0.7081539619981777,0.00908016949396699
128,20000,0.49998125023437207,0.02828274998125023,0.032972499953125574,0.01340083999792114,1.4374406699999236,0.009322708253358278
256,100,0.4925373134328358,0.016953125,0.025496735074626863,0.001095263996394351,0.014150757999159396,0.07739966978867235
256,1250,0.4997000599880024,0.023972377399520094,0.023996372600479904,0.0016058819962199778,0.179897953994805,0.008926627349338013
256,2500,0.4997000599880024,0.02468136060287943,0.023900391796640667,0.0018477460008580237,0.35289002999663355,0.0052360391164229
256,5000,0.4999250037498125,0.022803500449977507,0.02061000074996251,0.0034822580008767546,0.7031666519923602,0.0049522513489655496
256,10000,0.4999250037498125,0.025706124850007502,0.026015625000000007,0.006694233991438523,1.4050026980147232,0.004764570203955845
256,20000,0.49998125023437207,0.024610124990625114,0.023907749981250226,0.013426281999563798,2.8559307180030737,0.004701193174935187
512,100,0.4925373134328358,0.011607392723880592,0.018178055037313432,0.002579029995249584,0.029017743999138475,0.08887768791833557
512,1250,0.4997000599880024,0.012986886997600476,0.015910435100479906,0.0030191000015474855,0.35230131800635717,0.008569652871673352
512,2500,0.4997000599880024,0.015090122600479905,0.016971261997600476,0.0037989280000329017,0.7079357140010688,0.005366204762523347
512,5000,0.4999250037498125,0.015378625599970004,0.0165985626499925,0.0038182100001722574,1.4113092920021153,0.0027054381500993723
512,10000,0.4999250037498125,0.0169951873500075,0.0169891876499925,0.007266864003613591,2.8062707460054663,0.0025895092317651364
512,20000,0.49998125023437207,0.017890624999999997,0.01820237500937488,0.014230200006859378,5.699926247991389,0.002496558619837229
